Results for T0867_12class with no augmentations
8 Channeled, 0.7|0.1|0.2 training/validation/test split

Network: D2NET_v1
  -184,770 parameters

# LABELS: epoch, loss, acc, val_loss, val_acc
0.000, 1.880, 0.241, 1.578, 0.351
1.000, 1.518, 0.358, 1.371, 0.424
2.000, 1.379, 0.412, 1.300, 0.456
3.000, 1.300, 0.445, 1.287, 0.451
4.000, 1.246, 0.468, 1.268, 0.466
5.000, 1.202, 0.485, 1.261, 0.468
6.000, 1.161, 0.506, 1.251, 0.476
7.000, 1.127, 0.518, 1.257, 0.483
8.000, 1.094, 0.533, 1.251, 0.482
9.000, 1.060, 0.548, 1.273, 0.482
# Test [loss, acc]: 1.2682152, 0.48256826
